Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Pandoraea sp. NPDC087047],50.1,50.1,49%,0.001,34.02,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_400333546.1?report=genbank&log$=prottop&blast_rank=254&RID=AVF030C7015"",""WP_400333546.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Rhodanobacter sp.],49.7,49.7,79%,0.001,28.93,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEY0198720.1?report=genbank&log$=prottop&blast_rank=255&RID=AVF030C7015"",""HEY0198720.1"")"
8 member(s) 3 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium yanoikuyae],49.7,49.7,39%,0.001,36.99,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_048939334.1?report=genbank&log$=prottop&blast_rank=256&RID=AVF030C7015"",""WP_048939334.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Novosphingobium sp.],49.7,49.7,63%,0.001,34.15,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_366942122.1?report=genbank&log$=prottop&blast_rank=257&RID=AVF030C7015"",""WP_366942122.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis sp.],48.5,48.5,60%,0.002,28.95,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_293844823.1?report=genbank&log$=prottop&blast_rank=258&RID=AVF030C7015"",""WP_293844823.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas sp. SDU82],49.7,49.7,31%,0.002,42.37,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_434946437.1?report=genbank&log$=prottop&blast_rank=259&RID=AVF030C7015"",""WP_434946437.1"")"
1 member(s) 1 organism(s),proteobacteria,lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium],46.6,46.6,31%,0.002,40.68,64,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEO1020428.1?report=genbank&log$=prottop&blast_rank=260&RID=AVF030C7015"",""MEO1020428.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Roseateles sp.],49.7,49.7,49%,0.002,35.48,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_415655597.1?report=genbank&log$=prottop&blast_rank=261&RID=AVF030C7015"",""WP_415655597.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Gemmatimonadaceae bacterium],48.5,48.5,41%,0.002,37.18,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEX6049171.1?report=genbank&log$=prottop&blast_rank=262&RID=AVF030C7015"",""HEX6049171.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium estronivorans],48.5,48.5,31%,0.002,44.07,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_420853308.1?report=genbank&log$=prottop&blast_rank=263&RID=AVF030C7015"",""WP_420853308.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Acidicapsa dinghuensis],48.1,48.1,34%,0.002,38.10,125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_263337488.1?report=genbank&log$=prottop&blast_rank=264&RID=AVF030C7015"",""WP_263337488.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Terricaulis sp.],48.9,48.9,48%,0.002,31.11,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFN3463217.1?report=genbank&log$=prottop&blast_rank=265&RID=AVF030C7015"",""MFN3463217.1"")"
15 member(s) 10 organism(s),Bacillus rRNA group 1,"lasso peptide biosynthesis B2 protein, partial [Bacillus mobilis]",48.1,48.1,31%,0.002,37.29,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_229134707.1?report=genbank&log$=prottop&blast_rank=266&RID=AVF030C7015"",""WP_229134707.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein CMZ84_05795 [Lysobacteraceae bacterium NML93-0399],49.7,49.7,30%,0.002,44.64,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PBJ83976.1?report=genbank&log$=prottop&blast_rank=267&RID=AVF030C7015"",""PBJ83976.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas endophytica],49.7,49.7,37%,0.002,38.89,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_280575203.1?report=genbank&log$=prottop&blast_rank=268&RID=AVF030C7015"",""WP_280575203.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis sp. JAI108],49.7,49.7,89%,0.002,30.73,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_179499289.1?report=genbank&log$=prottop&blast_rank=269&RID=AVF030C7015"",""WP_179499289.1"")"
1 member(s) 1 organism(s),a-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [Sphingobium],49.3,49.3,30%,0.002,45.61,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_120253366.1?report=genbank&log$=prottop&blast_rank=270&RID=AVF030C7015"",""WP_120253366.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Acidobacteriota bacterium],48.1,48.1,59%,0.002,29.73,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI0724258.1?report=genbank&log$=prottop&blast_rank=271&RID=AVF030C7015"",""MCI0724258.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Proluteimonas luteida],48.5,48.5,41%,0.002,35.44,160,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD9026777.1?report=genbank&log$=prottop&blast_rank=272&RID=AVF030C7015"",""MCD9026777.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Stenotrophomonas maltophilia],49.3,49.3,56%,0.002,33.33,226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_253135407.1?report=genbank&log$=prottop&blast_rank=273&RID=AVF030C7015"",""WP_253135407.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobia bacterium],47.8,47.8,29%,0.002,42.59,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBZ5573880.1?report=genbank&log$=prottop&blast_rank=274&RID=AVF030C7015"",""MBZ5573880.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Pelomonas sp. Root1217],49.7,49.7,30%,0.002,45.61,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_157256542.1?report=genbank&log$=prottop&blast_rank=275&RID=AVF030C7015"",""WP_157256542.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobia bacterium],47.8,47.8,31%,0.002,39.66,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDT8069500.1?report=genbank&log$=prottop&blast_rank=276&RID=AVF030C7015"",""MDT8069500.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp. 66-10],49.3,49.3,56%,0.002,33.02,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_286771404.1?report=genbank&log$=prottop&blast_rank=277&RID=AVF030C7015"",""WP_286771404.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobia bacterium],47.8,47.8,64%,0.002,26.45,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBZ5666476.1?report=genbank&log$=prottop&blast_rank=278&RID=AVF030C7015"",""MBZ5666476.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Gemmatimonadaceae bacterium],48.1,48.1,30%,0.002,41.07,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HZS60784.1?report=genbank&log$=prottop&blast_rank=279&RID=AVF030C7015"",""HZS60784.1"")"
1 member(s) 1 organism(s),s__Sphingomonas_E laterariae,lasso peptide biosynthesis B2 protein [Edaphosphingomonas laterariae],49.3,49.3,93%,0.002,28.57,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_179220868.1?report=genbank&log$=prottop&blast_rank=280&RID=AVF030C7015"",""WP_179220868.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium yanoikuyae],48.9,48.9,43%,0.002,31.25,191,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_279728022.1?report=genbank&log$=prottop&blast_rank=281&RID=AVF030C7015"",""WP_279728022.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium sp. Cam5-1],49.3,49.3,92%,0.002,25.37,211,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_196225535.1?report=genbank&log$=prottop&blast_rank=282&RID=AVF030C7015"",""WP_196225535.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Pelomonas cellulosilytica],49.7,49.7,61%,0.002,32.79,267,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_233375420.1?report=genbank&log$=prottop&blast_rank=283&RID=AVF030C7015"",""WP_233375420.1"")"
1 member(s) 1 organism(s),a-proteobacteria,Transglutaminase-like superfamily protein [Sphingobium sp. YR768],49.3,49.3,57%,0.002,30.28,216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SER23946.1?report=genbank&log$=prottop&blast_rank=284&RID=AVF030C7015"",""SER23946.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomicrobium sp.],48.9,48.9,97%,0.002,26.89,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HYC95831.1?report=genbank&log$=prottop&blast_rank=285&RID=AVF030C7015"",""HYC95831.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobia bacterium],47.8,47.8,29%,0.003,40.74,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBZ5688952.1?report=genbank&log$=prottop&blast_rank=286&RID=AVF030C7015"",""MBZ5688952.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp. SORGH_AS_0950],48.9,48.9,65%,0.003,25.98,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_307103644.1?report=genbank&log$=prottop&blast_rank=287&RID=AVF030C7015"",""WP_307103644.1"")"
1 member(s) 1 organism(s),firmicutes,lasso peptide biosynthesis B2 protein [Bacillus sp. 'calajunan'],47.8,47.8,31%,0.003,33.90,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_435712700.1?report=genbank&log$=prottop&blast_rank=288&RID=AVF030C7015"",""WP_435712700.1"")"
1 member(s) 1 organism(s),bacteria,MAG: lasso peptide biosynthesis B2 protein [Acidobacteriota bacterium],47.8,47.8,37%,0.003,36.23,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PYU07063.1?report=genbank&log$=prottop&blast_rank=289&RID=AVF030C7015"",""PYU07063.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Acidobacteriota bacterium],47.4,47.4,35%,0.003,36.92,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBS1867785.1?report=genbank&log$=prottop&blast_rank=290&RID=AVF030C7015"",""MBS1867785.1"")"
6 member(s) 5 organism(s),a-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Sphingopyxis],48.9,48.9,37%,0.003,36.23,215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_188237759.1?report=genbank&log$=prottop&blast_rank=291&RID=AVF030C7015"",""WP_188237759.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobales bacterium],47.8,47.8,33%,0.003,37.10,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HKT25441.1?report=genbank&log$=prottop&blast_rank=292&RID=AVF030C7015"",""HKT25441.1"")"
1 member(s) 1 organism(s),bacteria,MAG: lasso peptide biosynthesis B2 protein [Acidobacteriota bacterium],47.4,47.4,31%,0.003,37.93,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PYT66035.1?report=genbank&log$=prottop&blast_rank=293&RID=AVF030C7015"",""PYT66035.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas terrae],49.3,49.3,56%,0.003,28.45,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_310232510.1?report=genbank&log$=prottop&blast_rank=294&RID=AVF030C7015"",""WP_310232510.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp.],48.9,48.9,57%,0.003,29.91,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEI9850135.1?report=genbank&log$=prottop&blast_rank=295&RID=AVF030C7015"",""MEI9850135.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Vitreimonas flagellata],48.9,48.9,94%,0.003,26.50,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_135212790.1?report=genbank&log$=prottop&blast_rank=296&RID=AVF030C7015"",""WP_135212790.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Roseateles asaccharophilus],49.3,49.3,41%,0.003,35.90,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_310332854.1?report=genbank&log$=prottop&blast_rank=297&RID=AVF030C7015"",""WP_310332854.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium sp. DC-2],48.9,48.9,30%,0.003,43.86,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_030539373.1?report=genbank&log$=prottop&blast_rank=298&RID=AVF030C7015"",""WP_030539373.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Novosphingobium sp. 1529],48.9,48.9,57%,0.003,31.48,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_354491377.1?report=genbank&log$=prottop&blast_rank=299&RID=AVF030C7015"",""WP_354491377.1"")"
2 member(s) 2 organism(s),alpha-4 proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium arseniciresistens],48.9,48.9,30%,0.003,42.11,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_039570855.1?report=genbank&log$=prottop&blast_rank=300&RID=AVF030C7015"",""WP_039570855.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Gammaproteobacteria bacterium],48.9,48.9,79%,0.003,26.45,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDB6100393.1?report=genbank&log$=prottop&blast_rank=301&RID=AVF030C7015"",""MDB6100393.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Gemmatimonadota bacterium],47.0,47.0,40%,0.003,37.33,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI4410086.1?report=genbank&log$=prottop&blast_rank=302&RID=AVF030C7015"",""MBI4410086.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrales bacterium],47.4,47.4,31%,0.003,39.66,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGA8104104.1?report=genbank&log$=prottop&blast_rank=303&RID=AVF030C7015"",""MGA8104104.1"")"
2 member(s) 1 organism(s),high G+C Gram-positive bacteria,lasso peptide biosynthesis B2 protein [Streptomyces daliensis],47.8,47.8,66%,0.003,31.20,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBR7673984.1?report=genbank&log$=prottop&blast_rank=304&RID=AVF030C7015"",""MBR7673984.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Stakelama flava],48.9,48.9,91%,0.003,28.43,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_219239353.1?report=genbank&log$=prottop&blast_rank=305&RID=AVF030C7015"",""WP_219239353.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Silvibacterium sp.],47.4,47.4,31%,0.003,39.66,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGC2547810.1?report=genbank&log$=prottop&blast_rank=306&RID=AVF030C7015"",""MGC2547810.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],48.9,48.9,44%,0.003,34.88,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEV7445807.1?report=genbank&log$=prottop&blast_rank=307&RID=AVF030C7015"",""HEV7445807.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium sp.],48.9,48.9,90%,0.003,26.70,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_330899093.1?report=genbank&log$=prottop&blast_rank=308&RID=AVF030C7015"",""WP_330899093.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],48.9,48.9,64%,0.003,29.75,251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEY7638163.1?report=genbank&log$=prottop&blast_rank=309&RID=AVF030C7015"",""HEY7638163.1"")"
2 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Phenylobacterium sp. 58.2.17],48.9,48.9,59%,0.003,31.53,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_267231319.1?report=genbank&log$=prottop&blast_rank=310&RID=AVF030C7015"",""WP_267231319.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Brevundimonas denitrificans],47.0,47.0,41%,0.003,37.66,103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_371514793.1?report=genbank&log$=prottop&blast_rank=311&RID=AVF030C7015"",""WP_371514793.1"")"
1 member(s) 1 organism(s),bacteria,MAG: lasso peptide biosynthesis B2 protein [Acidobacteriota bacterium],47.4,47.4,33%,0.003,38.71,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PYU00994.1?report=genbank&log$=prottop&blast_rank=312&RID=AVF030C7015"",""PYU00994.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Dormiibacterota bacterium],47.4,47.4,41%,0.003,33.33,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HXM93620.1?report=genbank&log$=prottop&blast_rank=313&RID=AVF030C7015"",""HXM93620.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Rhodanobacter],48.9,48.9,46%,0.003,32.99,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_068097223.1?report=genbank&log$=prottop&blast_rank=314&RID=AVF030C7015"",""WP_068097223.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Phenylobacterium sp.],48.5,48.5,47%,0.003,31.82,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_374453929.1?report=genbank&log$=prottop&blast_rank=315&RID=AVF030C7015"",""WP_374453929.1"")"
1 member(s) 1 organism(s),cyanobacteria,lasso peptide biosynthesis B2 protein [Cyanobacteriota bacterium],47.8,47.8,40%,0.003,38.96,156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBY0493278.1?report=genbank&log$=prottop&blast_rank=316&RID=AVF030C7015"",""MBY0493278.1"")"
4 member(s) 3 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Burkholderia mayonis],48.9,48.9,63%,0.003,29.92,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_059597140.1?report=genbank&log$=prottop&blast_rank=317&RID=AVF030C7015"",""WP_059597140.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Silvibacterium sp.],46.6,46.6,31%,0.003,39.66,98,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGB0124901.1?report=genbank&log$=prottop&blast_rank=318&RID=AVF030C7015"",""MGB0124901.1"")"
1 member(s) 1 organism(s),proteobacteria,lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium],48.5,48.5,65%,0.003,31.78,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MES1972869.1?report=genbank&log$=prottop&blast_rank=319&RID=AVF030C7015"",""MES1972869.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Proluteimonas luteida],48.5,48.5,41%,0.004,35.44,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_435594005.1?report=genbank&log$=prottop&blast_rank=320&RID=AVF030C7015"",""WP_435594005.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Thermoanaerobaculia bacterium],47.4,47.4,49%,0.004,35.11,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HVT14744.1?report=genbank&log$=prottop&blast_rank=321&RID=AVF030C7015"",""HVT14744.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Erythrobacter sp. SAORIC-644],48.1,48.1,70%,0.004,26.80,168,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_369828398.1?report=genbank&log$=prottop&blast_rank=322&RID=AVF030C7015"",""WP_369828398.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacter cummioxidans],48.5,48.5,53%,0.004,33.96,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_161965942.1?report=genbank&log$=prottop&blast_rank=323&RID=AVF030C7015"",""WP_161965942.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Allosphingosinicella sp.],48.5,48.5,59%,0.004,30.43,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEX8223742.1?report=genbank&log$=prottop&blast_rank=324&RID=AVF030C7015"",""HEX8223742.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Acidobacteriota bacterium],45.4,45.4,31%,0.004,39.66,59,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI0722339.1?report=genbank&log$=prottop&blast_rank=325&RID=AVF030C7015"",""MCI0722339.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Acinetobacter baumannii],46.2,46.2,31%,0.004,38.98,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDO7435086.1?report=genbank&log$=prottop&blast_rank=326&RID=AVF030C7015"",""MDO7435086.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Asticcacaulis excentricus],48.9,48.9,91%,0.004,26.44,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_049781719.1?report=genbank&log$=prottop&blast_rank=327&RID=AVF030C7015"",""WP_049781719.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Dyella sp. S184],48.5,48.5,58%,0.004,30.77,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_158755063.1?report=genbank&log$=prottop&blast_rank=328&RID=AVF030C7015"",""WP_158755063.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Novosphingobium sp.],48.5,48.5,43%,0.004,31.25,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_334183847.1?report=genbank&log$=prottop&blast_rank=329&RID=AVF030C7015"",""WP_334183847.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrales bacterium],48.9,48.9,30%,0.004,40.35,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HWG87270.1?report=genbank&log$=prottop&blast_rank=330&RID=AVF030C7015"",""HWG87270.1"")"
1 member(s) 1 organism(s),bacteria,MAG: lasso peptide biosynthesis B2 protein [Acidobacteriota bacterium],45.8,45.8,33%,0.004,37.10,70,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PYT34966.1?report=genbank&log$=prottop&blast_rank=331&RID=AVF030C7015"",""PYT34966.1"")"
3 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Hyphococcus sp.],48.5,48.5,44%,0.004,32.53,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_428406836.1?report=genbank&log$=prottop&blast_rank=332&RID=AVF030C7015"",""WP_428406836.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas granuli],47.4,47.4,58%,0.004,34.48,134,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_144893342.1?report=genbank&log$=prottop&blast_rank=333&RID=AVF030C7015"",""WP_144893342.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Bryobacterales bacterium],47.4,47.4,51%,0.004,34.74,139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBL8238669.1?report=genbank&log$=prottop&blast_rank=334&RID=AVF030C7015"",""MBL8238669.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Rhizobacter sp.],48.9,48.9,41%,0.004,37.18,250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBX3621267.1?report=genbank&log$=prottop&blast_rank=335&RID=AVF030C7015"",""MBX3621267.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Rhodanobacter sp.],48.9,48.9,56%,0.004,28.57,255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEX7732799.1?report=genbank&log$=prottop&blast_rank=336&RID=AVF030C7015"",""HEX7732799.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium sp. R-21],48.5,48.5,91%,0.004,22.60,232,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_426387571.1?report=genbank&log$=prottop&blast_rank=337&RID=AVF030C7015"",""WP_426387571.1"")"
2 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium psychrophilum],48.5,48.5,30%,0.004,43.86,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_169574588.1?report=genbank&log$=prottop&blast_rank=338&RID=AVF030C7015"",""WP_169574588.1"")"
